SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
57003280,5.6,5.25,4.4,-1,-1,-1,5.0,8.5,9.25
57003281,7.6,6.5,5.4,-1,-1,-1,7.5,8.5,9.25
57003282,6.6,6.0,6.0,-1,-1,-1,4.5,8.25,9.0
57003283,6.8,6.75,8.6,5.5,6.75,5.75,-1,-1,-1
57003284,5.0,5.0,-1,-1,-1,-1,3.0,4.75,-1
57003285,7.8,4.75,7.2,6.5,7.25,6.75,-1,-1,-1
57003286,3.8,4.25,-1,-1,-1,-1,1.5,5.5,-1
57003287,3.2,3.75,-1,-1,-1,-1,4.0,5.5,-1
57003288,8.6,6.5,8.4,8.5,7.75,9.0,-1,-1,-1
57003289,8.2,6.25,7.0,8.75,6.0,6.0,-1,-1,-1
57003290,8.0,6.25,6.4,7.25,7.5,7.5,-1,-1,-1
57003291,7.4,6.5,5.8,6.75,6.75,6.75,-1,-1,-1
57003292,7.8,7.0,5.6,-1,-1,-1,5.5,9.0,9.5
57003293,5.6,6.0,3.2,-1,-1,-1,5.0,8.75,9.25
57003294,7.2,6.25,5.4,-1,-1,-1,7.0,7.75,9.0
57003295,6.8,6.25,8.0,6.5,8.75,6.5,-1,-1,-1
57003296,5.6,3.0,-1,-1,-1,-1,4.25,8.0,-1
57003297,7.2,6.5,7.4,-1,-1,-1,7.0,8.25,9.5
57003298,5.2,3.25,-1,-1,-1,-1,4.5,7.25,-1
57003299,8.6,6.0,8.4,6.25,7.25,5.5,-1,-1,-1
57003300,6.4,5.5,4.6,-1,-1,-1,4.5,7.0,9.0
57003301,7.8,5.75,5.6,6.0,6.25,5.5,-1,-1,-1
57003302,8.4,7.75,6.6,6.25,7.25,8.25,-1,-1,-1
57003303,7.0,7.25,7.2,7.5,6.75,7.25,-1,-1,-1
57003304,6.6,5.75,4.2,-1,-1,-1,2.25,7.25,8.25
57003305,6.8,4.5,2.6,-1,-1,-1,6.25,8.0,9.0
57003306,6.8,6.5,-1,-1,-1,-1,8.0,7.75,-1
57003307,5.0,4.25,-1,-1,-1,-1,4.75,6.75,-1
57003308,6.8,4.75,5.8,-1,-1,-1,7.0,7.5,7.0
57003309,7.4,5.5,8.4,5.0,7.0,6.25,-1,-1,-1
57003310,8.0,6.25,6.2,5.25,7.25,6.5,-1,-1,-1
57003311,7.8,6.5,8.6,6.0,8.0,6.75,-1,-1,-1
57003312,5.6,5.5,3.4,-1,-1,-1,3.0,7.0,6.75
57003313,4.2,6.0,4.6,-1,-1,-1,7.5,7.75,8.0
57003314,8.6,7.0,6.6,7.25,7.75,6.75,-1,-1,-1
57003315,7.8,6.25,6.4,-1,-1,-1,6.25,7.25,8.25
57003316,6.0,7.25,7.6,-1,-1,-1,7.75,9.5,9.25
57003317,7.8,5.5,6.4,-1,-1,-1,4.0,8.25,9.5
57003318,8.4,7.0,5.8,6.75,8.25,7.75,-1,-1,-1
57003319,7.8,6.25,4.6,-1,-1,-1,4.75,7.5,9.5
57003320,7.6,5.5,5.8,-1,-1,-1,4.5,8.0,9.0
57003321,7.8,6.75,5.0,-1,-1,-1,3.5,7.25,8.25
57003322,5.0,6.5,5.0,-1,-1,-1,4.5,8.25,8.5
57003323,7.4,6.75,4.8,-1,-1,-1,5.75,7.5,8.25
57003324,8.6,6.75,6.0,-1,-1,-1,4.0,7.5,7.0
57003325,7.6,6.25,6.4,-1,-1,-1,6.0,8.0,8.75
57003326,5.6,5.75,6.8,-1,-1,-1,4.5,7.0,7.5
57003327,6.2,6.25,-1,-1,-1,-1,5.75,6.25,-1
57003328,7.4,6.5,3.2,-1,-1,-1,6.25,8.5,7.5
57003329,7.8,5.5,3.4,-1,-1,-1,6.0,7.0,8.25
57003330,5.4,6.5,-1,-1,-1,-1,6.25,7.0,-1
57003331,7.0,6.25,-1,-1,-1,-1,6.75,7.75,-1
57003332,5.4,6.25,-1,-1,-1,-1,5.0,5.75,-1
57003333,8.0,6.75,3.2,-1,-1,-1,5.0,7.75,8.75
57003334,3.4,5.75,4.2,-1,-1,-1,2.5,7.0,8.0
57003335,5.4,7.0,4.0,-1,-1,-1,2.5,8.75,8.25
57003336,6.2,5.75,3.8,-1,-1,-1,2.75,6.25,8.25
57003337,7.4,6.25,8.4,7.0,8.0,6.5,-1,-1,-1
57003338,6.4,7.0,5.2,-1,-1,-1,4.5,7.0,9.25
57003339,7.4,6.25,5.4,-1,-1,-1,6.5,8.25,9.25
57003340,8.0,8.0,9.0,-1,-1,-1,8.5,8.5,9.75
57003341,8.4,6.75,7.8,7.75,8.5,5.5,-1,-1,-1
57003342,7.0,5.5,3.6,-1,-1,-1,5.75,7.75,8.0
57003343,8.0,6.25,9.0,7.25,7.5,7.5,-1,-1,-1
57003344,5.4,5.75,4.6,-1,-1,-1,4.0,6.75,8.25
57003345,4.8,5.5,-1,-1,-1,-1,3.5,6.5,-1
57003346,8.8,6.25,9.2,8.25,8.25,6.75,-1,-1,-1
57003347,2.0,3.5,-1,-1,-1,-1,4.25,6.75,-1
57003348,7.6,5.25,6.4,6.25,7.75,6.5,-1,-1,-1
57003349,6.6,4.75,7.4,7.25,6.75,7.5,-1,-1,-1
57003350,5.4,5.5,4.8,-1,-1,-1,2.75,7.5,8.5
57003351,3.6,2.75,-1,-1,-1,-1,3.25,5.5,-1
57003352,8.0,6.5,6.4,-1,-1,-1,7.75,8.75,9.75
57003353,7.2,7.0,8.4,-1,-1,-1,8.25,7.75,9.25
57003354,7.8,6.5,5.8,-1,-1,-1,5.0,7.5,9.5
57003355,7.2,6.0,-1,-1,-1,-1,6.5,7.5,-1
57003356,7.4,5.25,4.4,-1,-1,-1,4.5,7.0,8.0
57003357,5.0,4.5,-1,-1,-1,-1,5.0,7.5,-1
57003358,7.6,5.25,5.8,-1,-1,-1,7.5,8.5,9.5
57003359,6.0,5.75,3.4,-1,-1,-1,6.5,7.5,8.75
57003360,9.0,6.25,7.2,7.0,8.25,7.75,-1,-1,-1
57003361,2.4,3.5,-1,-1,-1,-1,4.25,7.0,-1
57003362,7.2,6.75,4.8,6.5,6.25,6.5,-1,-1,-1
57003363,7.8,7.5,4.2,-1,-1,-1,7.25,7.5,9.0
57003364,6.0,5.75,-1,-1,-1,-1,6.75,6.25,-1
57003365,1.8,3.75,-1,-1,-1,-1,2.75,4.25,-1
57003366,6.2,6.25,-1,-1,-1,-1,4.0,6.0,-1
57003367,7.4,6.5,6.6,-1,-1,-1,6.25,7.25,9.5
57003368,3.6,3.0,-1,-1,-1,-1,1.5,6.75,-1
57003369,5.8,5.25,3.2,-1,-1,-1,4.5,7.25,6.75
57003370,7.0,7.25,5.6,-1,-1,-1,5.75,9.0,9.75
57003371,7.8,8.0,8.0,-1,-1,-1,5.5,7.25,8.0
57003372,6.8,6.5,6.2,-1,-1,-1,8.0,7.75,9.25
57003373,7.2,5.25,5.6,4.75,7.5,6.0,-1,-1,-1
57003374,3.4,3.75,-1,-1,-1,-1,2.75,5.25,-1
57003375,7.6,6.75,6.2,5.5,7.75,6.5,-1,-1,-1
57003376,4.8,7.0,6.6,-1,-1,-1,5.0,8.25,7.25
57003377,8.0,6.75,9.2,-1,-1,-1,8.5,8.75,9.25
57003378,4.2,5.75,-1,-1,-1,-1,3.25,6.25,-1
57003379,7.0,7.0,4.2,-1,-1,-1,4.25,7.0,8.5
57003380,8.2,6.5,7.4,6.0,7.0,7.25,-1,-1,-1
57003381,3.6,2.5,-1,-1,-1,-1,3.25,5.25,-1
57003382,2.8,4.5,-1,-1,-1,-1,5.75,6.5,-1
57003383,4.2,5.0,-1,-1,-1,-1,3.25,5.75,-1
57003384,7.2,6.0,5.0,-1,-1,-1,3.25,8.5,8.5
57003385,5.0,6.0,5.2,-1,-1,-1,6.5,7.0,8.75
57003386,4.4,5.5,-1,-1,-1,-1,4.25,7.5,-1
57003387,8.0,4.5,4.0,-1,-1,-1,6.75,7.0,8.5
57003388,6.0,3.5,-1,-1,-1,-1,5.5,7.5,-1
57003389,6.6,5.5,7.0,-1,-1,-1,6.0,6.5,9.0
57003390,7.2,6.75,6.4,-1,-1,-1,7.5,8.5,9.5
57003391,4.4,4.75,-1,-1,-1,-1,2.5,4.75,-1
57003392,4.0,6.75,5.6,-1,-1,-1,3.0,8.0,8.25
57003394,8.0,6.0,6.6,-1,-1,-1,6.0,7.5,8.5
57003395,7.6,6.5,4.8,7.0,7.25,7.0,-1,-1,-1
57003396,6.0,6.5,-1,-1,-1,-1,6.5,7.25,-1
57003397,4.6,5.75,4.4,-1,-1,-1,3.75,6.75,7.75
57003398,8.0,6.0,7.8,7.0,7.75,7.5,-1,-1,-1
57003399,7.0,6.0,7.6,6.0,7.25,6.0,-1,-1,-1
57003400,7.6,6.25,7.2,7.5,8.0,8.0,-1,-1,-1
57003401,5.8,6.0,5.2,-1,-1,-1,5.25,8.25,9.25
57003402,4.8,5.75,3.8,-1,-1,-1,5.5,7.75,8.25
57003403,4.6,6.0,3.4,-1,-1,-1,6.5,7.5,7.75
57003404,4.6,3.0,-1,-1,-1,-1,3.0,6.0,-1
57003405,2.4,3.0,-1,-1,-1,-1,3.0,6.0,-1
57003406,8.0,6.0,4.8,-1,-1,-1,7.0,8.25,9.0
57003407,6.0,5.5,4.8,-1,-1,-1,4.75,7.0,8.0
57003408,7.4,6.5,7.6,-1,-1,-1,6.75,7.75,9.25
57003409,8.0,5.75,8.2,7.25,7.75,8.0,-1,-1,-1
