SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
05000063,5.6,6.0,-1,-1,-1,-1,7.75,7.75,-1
05000064,2.4,-1,-1,2.5,3.0,-1,-1,-1,-1
05000065,8.2,4.75,8.2,6.0,3.5,5.5,-1,-1,-1
05000066,-1,5.25,-1,-1,-1,-1,7.0,7.75,-1
05000067,8.2,5.5,8.2,6.5,4.25,4.75,-1,-1,-1
05000068,1.6,3.0,2.6,-1,-1,-1,3.0,3.75,5.25
05000069,-1,2.75,-1,-1,-1,-1,5.5,6.5,-1
05000070,9.0,5.0,9.0,8.25,5.25,4.75,-1,-1,-1
05000071,-1,4.75,-1,-1,-1,-1,6.0,7.5,-1
05000072,8.4,7.5,7.2,6.25,4.5,3.75,-1,-1,-1
05000073,4.8,5.0,-1,-1,-1,-1,5.75,6.75,-1
05000074,3.2,2.5,-1,-1,-1,-1,3.25,6.25,-1
05000075,3.8,3.5,-1,-1,-1,-1,4.75,7.0,-1
05000076,5.0,6.25,8.4,-1,-1,-1,4.75,7.0,9.75
05000077,7.0,6.5,-1,-1,-1,-1,5.25,8.5,-1
05000078,4.0,5.0,-1,-1,-1,-1,2.75,4.75,-1
05000079,3.4,4.0,3.0,-1,-1,-1,3.5,7.0,5.25
05000080,1.6,3.0,-1,-1,-1,-1,2.5,5.75,-1
05000081,7.0,8.25,7.0,-1,-1,-1,4.5,5.5,7.5
05000082,2.6,3.0,1.8,-1,-1,-1,5.25,6.25,7.5
05000083,4.0,2.75,-1,-1,-1,-1,5.25,-1,-1
05000084,3.8,4.5,-1,-1,-1,-1,3.75,5.25,-1
05000085,5.0,6.5,-1,-1,-1,-1,6.5,-1,-1
05000086,-1,4.0,-1,-1,-1,-1,4.75,6.0,-1
05000087,2.4,5.25,2.6,-1,-1,-1,4.25,7.0,8.25
05000088,8.4,-1,-1,8.25,7.75,1.75,-1,-1,-1
05000089,2.0,3.5,2.6,-1,-1,-1,3.0,3.75,4.75
05000090,9.4,6.0,8.0,7.75,9.25,5.25,-1,-1,-1
05000091,4.4,3.25,2.6,-1,-1,-1,3.0,7.5,7.75
05000092,8.8,-1,-1,-1,8.75,9.5,-1,-1,-1
05000093,6.6,5.25,5.6,-1,-1,-1,2.25,6.5,6.25
05000094,7.2,5.5,6.4,3.25,8.5,7.25,-1,-1,-1
05000095,3.0,4.25,2.6,-1,-1,-1,1.5,2.75,-1
05000096,3.8,5.75,-1,-1,-1,-1,7.5,6.75,-1
05000097,8.8,7.75,9.0,-1,-1,-1,5.5,7.25,7.5
05000098,7.0,7.75,7.6,-1,-1,-1,9.25,6.75,8.5
05000099,8.4,7.0,9.4,5.75,7.5,4.75,-1,-1,-1
05000100,8.4,5.5,8.8,7.0,5.0,5.25,-1,-1,-1
05000101,4.6,6.25,6.8,-1,-1,-1,4.25,6.0,4.5
05000102,7.8,7.0,7.2,-1,-1,-1,2.25,6.25,8.5
05000103,3.6,4.0,-1,-1,-1,-1,3.5,-1,-1
05000104,7.2,6.5,8.6,-1,-1,-1,2.75,7.0,8.5
05000105,7.0,6.5,7.6,7.25,3.5,4.0,-1,-1,-1
05000106,2.0,1.25,-1,-1,-1,-1,2.5,-1,-1
05000107,-1,6.25,-1,-1,-1,-1,4.0,7.0,-1
05000108,3.4,4.75,-1,-1,-1,-1,2.75,3.25,-1
05000109,2.8,4.25,2.4,-1,-1,-1,2.5,6.25,6.25
05000110,3.6,5.0,2.6,-1,-1,-1,5.25,7.75,9.5
05000111,2.2,5.0,2.4,-1,-1,-1,4.5,7.5,9.75
05000112,3.4,4.0,1.6,-1,-1,-1,4.0,4.0,-1
05000113,3.4,3.75,2.2,-1,-1,-1,3.0,6.25,6.75
05000114,5.4,5.5,3.2,-1,-1,-1,5.75,8.0,8.75
05000115,6.6,6.5,8.8,-1,-1,-1,6.25,7.5,8.5
05000116,8.4,6.0,4.8,7.75,7.25,4.5,-1,-1,-1
05000117,-1,6.0,-1,-1,-1,-1,8.5,7.5,-1
05000118,6.2,6.75,4.2,-1,-1,-1,6.75,5.75,7.25
05000119,8.2,5.0,3.8,7.0,7.0,7.25,-1,-1,-1
05000120,5.4,3.25,-1,-1,-1,-1,6.5,-1,-1
05000121,3.8,5.0,1.6,-1,-1,-1,6.0,6.75,8.25
05000122,-1,3.25,-1,-1,-1,-1,6.5,7.0,-1
05000123,2.4,5.0,2.8,-1,-1,-1,2.25,6.25,7.5
05000124,6.2,6.25,4.8,5.25,7.75,8.0,-1,-1,-1
05000125,8.6,7.75,8.8,-1,-1,-1,4.75,6.25,7.25
05000126,6.8,7.25,8.8,-1,-1,-1,4.5,5.75,8.5
05000127,9.4,7.5,9.2,8.0,8.5,7.0,-1,-1,-1
05000128,8.2,7.0,8.0,3.5,7.75,8.5,-1,-1,-1
05000129,2.6,4.25,-1,-1,-1,-1,2.75,-1,-1
05000130,8.4,7.5,9.2,-1,-1,-1,4.5,6.0,7.25
