SBD,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,Lich Su,Đia Ly,GDCD
58007641,7.4,7.0,6.4,6.25,7.25,5.5,-1,-1,-1
58007642,8.0,7.5,5.2,6.5,7.25,6.5,-1,-1,-1
58007643,6.6,6.5,3.8,-1,-1,-1,4.5,7.25,8.75
58007644,6.6,6.75,4.2,-1,-1,-1,6.0,8.75,9.75
58007645,7.6,6.75,3.4,-1,-1,-1,7.75,7.5,10.0
58007646,6.4,5.25,3.6,-1,-1,-1,4.25,8.0,7.25
58007647,5.6,5.0,3.8,-1,-1,-1,2.75,6.75,7.0
58007648,5.4,5.5,3.2,-1,-1,-1,3.0,6.75,8.0
58007649,6.4,6.25,4.4,-1,-1,-1,5.75,7.25,8.75
58007650,6.0,7.0,4.0,-1,-1,-1,7.5,8.75,9.25
58007651,5.8,7.0,2.8,-1,-1,-1,4.5,6.5,8.75
58007652,6.6,7.0,5.0,6.5,4.5,5.75,-1,-1,-1
58007653,7.6,6.75,2.8,6.0,6.25,6.25,-1,-1,-1
58007654,5.0,5.5,3.6,-1,-1,-1,6.0,8.25,7.5
58007655,3.4,6.75,3.8,-1,-1,-1,2.75,6.5,6.25
58007656,7.6,5.0,3.4,-1,-1,-1,5.75,8.0,8.0
58007657,3.4,3.25,3.8,-1,-1,-1,4.0,6.0,7.5
58007658,3.8,5.0,2.6,-1,-1,-1,1.75,6.5,7.0
58007659,5.2,5.0,2.2,-1,-1,-1,3.5,6.75,7.75
58007660,4.8,2.5,-1,-1,-1,-1,2.25,5.75,-1
58007661,5.2,6.25,4.6,-1,-1,-1,5.25,8.0,8.75
58007662,5.2,5.25,2.8,-1,-1,-1,4.25,6.25,7.5
58007663,3.0,6.25,4.2,-1,-1,-1,3.75,7.25,8.75
58007664,4.2,6.75,3.0,-1,-1,-1,5.5,6.0,8.5
58007665,7.4,7.0,8.0,6.0,7.0,6.5,-1,-1,-1
58007666,5.0,5.75,4.4,-1,-1,-1,3.25,6.0,9.5
58007667,7.2,6.25,7.4,5.0,5.5,7.5,-1,-1,-1
58007668,4.4,4.75,2.8,-1,-1,-1,3.75,5.5,8.5
58007669,5.0,7.5,4.0,-1,-1,-1,5.75,9.0,8.25
58007670,7.2,7.0,5.4,-1,-1,-1,7.0,8.0,8.75
58007671,5.2,8.0,4.2,-1,-1,-1,4.5,7.25,9.0
58007672,6.8,6.5,3.4,5.25,7.25,3.5,-1,-1,-1
58007673,6.2,8.0,5.8,7.0,4.75,4.75,-1,-1,-1
58007674,3.2,3.5,-1,-1,-1,-1,4.0,5.0,-1
58007675,4.0,5.0,3.0,-1,-1,-1,1.75,7.25,6.25
58007676,7.0,6.75,3.6,-1,-1,-1,4.75,7.0,9.0
58007677,5.4,4.0,2.8,-1,-1,-1,4.5,6.25,8.0
58007678,6.6,5.75,3.2,-1,-1,-1,3.25,7.0,6.25
58007679,7.8,7.5,9.0,6.25,7.5,6.0,-1,-1,-1
58007680,7.2,8.25,3.0,7.75,8.25,8.25,-1,-1,-1
58007681,5.4,8.25,5.0,-1,-1,-1,5.75,8.25,9.75
58007682,4.4,5.75,2.6,-1,-1,-1,4.5,5.75,8.5
58007683,5.2,6.5,3.8,-1,-1,-1,4.5,8.25,8.25
58007684,8.0,9.0,6.8,7.75,8.25,7.5,-1,-1,-1
58007685,8.4,7.25,6.4,6.75,7.75,7.75,-1,-1,-1
58007686,7.2,6.75,4.6,-1,-1,-1,7.75,8.25,7.5
58007687,4.8,7.0,3.6,-1,-1,-1,5.0,7.75,9.75
58007688,6.0,7.0,3.8,-1,-1,-1,5.0,8.25,8.0
58007689,7.4,6.5,4.8,6.5,6.75,5.5,-1,-1,-1
58007690,5.4,5.75,3.4,-1,-1,-1,5.0,7.5,8.75
58007691,8.2,6.75,6.6,6.75,7.25,7.5,-1,-1,-1
58007692,4.6,8.0,5.4,-1,-1,-1,6.0,7.25,9.5
58007693,6.4,6.0,5.6,-1,-1,-1,3.75,7.0,9.0
58007694,4.0,5.75,3.4,-1,-1,-1,6.25,7.5,7.0
58007695,6.6,7.0,4.8,-1,-1,-1,6.0,8.25,8.75
58007696,7.2,5.75,5.4,6.0,7.25,6.25,-1,-1,-1
58007697,4.8,4.25,3.4,-1,-1,-1,1.75,6.0,6.75
58007698,8.2,7.0,6.4,8.0,7.75,7.5,-1,-1,-1
58007699,8.0,6.75,7.0,7.5,7.75,6.25,-1,-1,-1
58007700,8.0,7.75,8.2,-1,-1,-1,7.0,8.5,9.75
58007701,7.2,5.5,6.6,6.25,4.75,6.0,-1,-1,-1
58007702,5.4,7.0,5.0,-1,-1,-1,3.5,7.0,6.5
58007703,4.8,7.0,2.4,-1,-1,-1,5.5,6.5,9.75
58007704,6.0,5.5,3.8,-1,-1,-1,6.0,7.75,8.5
58007705,6.4,5.25,2.0,-1,-1,-1,4.5,6.5,9.75
58007706,7.4,5.75,3.8,-1,-1,-1,7.25,8.5,9.75
58007707,3.6,6.0,3.2,-1,-1,-1,4.5,5.75,8.75
58007708,6.4,5.25,4.2,-1,-1,-1,4.75,8.25,7.5
58007709,8.2,8.5,4.0,7.25,8.5,7.0,-1,-1,-1
58007710,5.6,7.5,4.4,-1,-1,-1,8.25,9.0,9.5
58007711,7.4,7.0,4.8,-1,-1,-1,6.5,8.5,9.5
58007712,6.6,6.5,5.2,-1,-1,-1,4.0,6.0,9.75
58007713,5.4,5.25,3.2,-1,-1,-1,3.0,6.5,8.25
58007714,7.8,8.25,8.8,6.75,7.5,6.5,-1,-1,-1
58007715,4.2,6.0,3.0,-1,-1,-1,4.75,6.75,8.0
58007716,3.6,5.25,2.2,-1,-1,-1,3.75,4.25,7.0
58007717,5.6,7.0,3.4,-1,-1,-1,6.75,8.5,9.25
58007718,8.0,7.0,5.6,-1,-1,-1,5.0,9.0,8.0
58007719,4.6,4.75,3.0,-1,-1,-1,4.0,7.0,8.75
58007720,5.8,6.0,4.2,-1,-1,-1,4.75,5.75,7.5
58007721,4.8,5.0,2.6,-1,-1,-1,3.75,6.75,7.5
58007722,8.2,6.0,4.8,6.5,5.75,3.5,-1,-1,-1
58007723,6.8,6.75,4.0,-1,-1,-1,3.5,6.75,7.5
58007724,6.4,5.25,2.6,-1,-1,-1,2.75,6.0,7.75
58007725,6.2,6.75,4.2,-1,-1,-1,2.75,6.5,7.5
58007726,7.8,6.75,4.4,7.0,6.75,4.75,-1,-1,-1
58007727,6.8,7.75,4.2,-1,-1,-1,6.25,8.5,9.25
58007728,6.4,6.5,2.4,-1,-1,-1,6.0,6.25,7.0
58007729,4.0,6.0,2.4,-1,-1,-1,3.0,6.75,7.0
58007730,4.4,5.25,3.2,-1,-1,-1,5.75,7.25,7.75
58007731,4.8,5.0,2.4,-1,-1,-1,4.25,6.5,9.0
58007732,3.8,4.0,2.6,-1,-1,-1,1.25,5.25,6.5
58007733,4.4,3.25,2.2,-1,-1,-1,2.25,4.75,5.0
58007734,4.6,4.5,3.6,-1,-1,-1,2.75,6.5,8.75
58007735,6.2,5.0,4.0,-1,-1,-1,5.75,7.25,10.0
58007736,5.8,6.25,4.0,6.5,6.0,3.5,-1,-1,-1
58007737,7.6,7.75,5.4,-1,-1,-1,4.0,6.0,8.5
58007738,6.4,5.5,4.2,-1,-1,-1,4.5,7.5,7.75
58007739,4.4,4.25,1.8,-1,-1,-1,3.0,6.25,4.75
58007740,6.0,5.75,2.2,-1,-1,-1,2.75,7.0,6.0
58007741,6.4,6.75,6.4,-1,-1,-1,6.75,8.5,9.75
58007742,5.2,5.25,2.8,-1,-1,-1,3.0,4.5,7.25
58007743,7.6,6.25,6.6,-1,-1,-1,6.25,7.75,9.25
58007744,5.0,6.5,3.0,-1,-1,-1,4.5,7.75,8.25
58007745,8.2,7.25,5.8,7.0,7.0,5.75,-1,-1,-1
58007746,6.4,7.25,6.2,-1,-1,-1,7.25,8.75,9.0
58007747,5.2,6.0,4.2,-1,-1,-1,5.0,6.75,6.5
58007748,7.0,7.0,6.6,7.25,6.75,6.0,-1,-1,-1
