SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
08000103,4.0,5.75,2.8,-1,-1,-1,6.25,8.5,9.0,-1,7.92
08000104,2.2,3.25,2.4,-1,-1,-1,4.25,7.75,7.75,-1,6.58
08000105,4.4,4.5,3.8,-1,-1,-1,5.5,6.75,8.75,-1,7.0
08000106,4.0,5.0,3.2,-1,-1,-1,4.75,5.25,8.5,-1,6.17
08000107,4.2,6.5,4.0,-1,-1,-1,6.75,7.25,9.25,-1,7.75
08000108,4.4,6.5,3.2,-1,-1,-1,7.0,8.25,8.25,-1,7.83
08000109,4.4,5.25,4.4,2.5,4.0,3.75,6.75,7.75,9.0,3.42,7.83
08000110,5.4,4.75,3.6,4.5,4.5,5.25,-1,-1,-1,4.75,-1
08000111,4.0,4.5,2.8,-1,-1,-1,3.5,5.25,7.0,-1,5.25
08000112,2.8,4.0,2.6,-1,-1,-1,2.5,5.0,8.0,-1,5.17
08000113,5.4,4.75,-1,-1,-1,-1,3.5,7.25,8.0,-1,6.25
08000114,8.6,5.75,3.2,8.25,9.25,4.25,-1,-1,-1,7.25,-1
08000115,3.4,5.0,3.4,3.5,1.5,2.75,3.5,5.0,7.5,2.58,5.33
08000116,6.4,6.25,4.2,4.25,5.75,5.25,-1,-1,-1,5.08,-1
08000117,8.6,5.25,3.4,6.25,8.75,8.25,-1,-1,-1,7.75,-1
08000118,3.8,5.25,3.6,-1,-1,-1,2.5,5.5,8.25,-1,5.42
08000119,8.2,5.25,5.4,7.25,6.75,5.5,-1,-1,-1,6.5,-1
08000120,6.4,4.5,2.6,5.75,5.0,6.5,5.25,6.25,7.5,5.75,6.33
08000121,6.0,5.0,1.6,3.75,3.5,6.0,-1,-1,-1,4.42,-1
08000122,4.2,5.25,-1,-1,-1,-1,7.0,8.25,8.25,-1,7.83
08000123,3.2,5.25,2.6,-1,-1,-1,5.5,6.25,8.0,-1,6.58
08000124,7.8,6.75,3.0,5.0,5.5,4.75,-1,-1,-1,5.08,-1
08000125,6.2,4.75,7.2,4.25,3.5,3.5,-1,-1,-1,3.75,-1
08000126,3.0,3.5,2.8,-1,-1,-1,3.25,5.75,8.5,-1,5.83
08000127,4.8,6.75,3.2,-1,-1,-1,4.0,3.25,7.75,-1,5.0
08000128,4.2,6.5,5.2,-1,-1,-1,4.75,7.0,8.75,-1,6.83
08000129,6.8,5.0,3.0,4.25,4.75,5.75,-1,-1,-1,4.92,-1
08000130,7.0,8.25,8.6,5.25,4.75,5.5,-1,-1,-1,5.17,-1
08000131,3.6,5.0,2.2,-1,-1,-1,4.5,6.25,8.0,-1,6.25
08000132,5.2,5.5,3.6,3.5,3.25,4.5,2.5,4.75,7.5,3.75,4.92
08000133,3.4,6.25,3.2,-1,-1,-1,4.5,6.5,8.5,-1,6.5
08000134,4.2,6.0,3.4,-1,-1,-1,5.0,7.25,9.0,-1,7.08
08000135,8.2,6.75,8.6,5.0,3.75,4.0,-1,-1,-1,4.25,-1
08000136,4.2,6.75,3.4,-1,-1,-1,6.25,8.25,8.5,-1,7.67
08000137,3.6,5.25,3.6,5.25,4.5,5.5,-1,-1,-1,5.08,-1
08000138,6.4,4.75,2.2,5.75,6.5,4.5,-1,-1,-1,5.58,-1
08000139,6.6,7.25,3.4,6.0,6.0,5.75,-1,-1,-1,5.92,-1
08000140,3.4,5.0,3.4,2.75,1.5,5.0,-1,-1,-1,3.08,-1
08000141,6.2,6.5,4.0,6.25,6.25,5.75,-1,-1,-1,6.08,-1
08000142,8.0,6.0,3.2,5.5,7.0,4.25,-1,-1,-1,5.58,-1
08000143,5.8,5.25,3.8,6.0,6.5,6.5,-1,-1,-1,6.33,-1
08000144,5.4,5.5,2.4,2.75,4.25,4.25,4.75,6.75,8.5,3.75,6.67
08000145,7.4,3.75,3.8,6.5,3.25,4.25,-1,-1,-1,4.67,-1
08000146,4.0,3.75,3.2,-1,-1,-1,4.5,6.5,9.0,-1,6.67
08000147,9.0,5.5,3.2,8.0,8.75,9.0,-1,-1,-1,8.58,-1
08000148,7.2,7.0,4.2,7.5,5.75,5.75,-1,-1,-1,6.33,-1
08000149,4.4,4.75,3.6,4.0,4.0,4.5,-1,-1,-1,4.17,-1
08000150,7.0,8.25,5.6,6.5,3.75,2.5,-1,-1,-1,4.25,-1
08000151,4.6,5.25,5.6,-1,-1,-1,4.75,7.75,8.25,-1,6.92
08000152,5.0,6.0,3.6,4.5,4.5,4.5,-1,-1,-1,4.5,-1
08000153,4.8,6.0,3.0,-1,-1,-1,5.5,5.25,8.0,-1,6.25
08000154,4.6,5.25,6.8,2.25,3.25,3.25,3.75,5.0,6.25,2.92,5.0
08000155,4.2,6.0,2.4,3.5,3.5,4.0,3.75,6.0,7.75,3.67,5.83
08000156,7.2,6.0,5.2,7.5,6.5,5.25,-1,-1,-1,6.42,-1
08000157,4.2,5.5,3.0,4.0,2.75,3.75,3.0,6.25,6.0,3.5,5.08
08000158,8.8,7.5,8.8,4.0,5.0,6.25,-1,-1,-1,5.08,-1
08000159,4.0,5.0,3.8,-1,-1,-1,4.25,8.0,9.5,-1,7.25
08000160,4.2,5.0,2.6,-1,-1,-1,5.25,5.0,9.0,-1,6.42
08000161,5.6,4.5,3.6,4.5,3.25,5.25,-1,-1,-1,4.33,-1
08000162,5.0,4.75,2.6,-1,-1,-1,4.5,6.75,7.5,-1,6.25
08000163,3.2,2.5,-1,-1,-1,-1,2.75,4.0,7.75,-1,4.83
08000164,2.8,4.25,-1,-1,-1,-1,2.25,5.5,8.5,-1,5.42
08000165,5.2,6.5,3.6,-1,-1,-1,5.0,8.0,9.5,-1,7.5
08000166,7.6,6.5,4.0,5.25,7.0,4.0,-1,-1,-1,5.42,-1
08000167,4.0,5.5,3.0,-1,-1,-1,4.75,4.5,8.0,-1,5.75
08000168,2.8,5.25,3.0,-1,-1,-1,3.25,7.25,7.25,-1,5.92
08000169,2.8,5.25,4.0,-1,-1,-1,4.25,7.0,8.25,-1,6.5
08000170,5.8,5.25,3.4,5.25,4.75,6.25,-1,-1,-1,5.42,-1
08000171,6.0,5.75,6.6,5.5,3.0,4.5,-1,-1,-1,4.33,-1
08000172,3.0,5.25,2.4,2.0,3.75,5.25,4.5,4.25,7.0,3.67,5.25
08000173,3.4,4.5,2.6,-1,-1,-1,5.0,4.5,8.5,-1,6.0
08000174,5.0,2.5,-1,4.0,3.25,6.0,-1,-1,-1,4.42,-1
08000175,3.4,5.25,3.6,-1,-1,-1,3.0,7.5,9.5,-1,6.67
08000176,3.2,2.5,3.0,-1,-1,-1,4.0,5.5,7.25,-1,5.58
08000177,4.0,5.75,3.8,5.0,3.75,5.25,-1,-1,-1,4.67,-1
08000178,7.4,5.75,3.6,5.0,5.5,4.25,-1,-1,-1,4.92,-1
08000179,5.0,2.75,3.4,-1,-1,-1,3.75,5.25,8.0,-1,5.67
08000180,5.0,4.75,2.8,-1,-1,-1,5.5,7.75,6.75,-1,6.67
08000181,5.6,6.0,7.2,-1,-1,-1,3.0,6.5,7.25,-1,5.58
08000182,3.6,5.5,-1,-1,-1,-1,6.25,7.75,9.0,-1,7.67
08000183,3.4,5.0,3.2,-1,-1,-1,3.0,3.75,7.25,-1,4.67
08000184,6.6,6.0,3.8,6.75,5.75,5.25,-1,-1,-1,5.92,-1
08000185,3.4,4.75,3.0,3.75,3.75,6.0,-1,-1,-1,4.5,-1
08000186,3.4,3.25,2.4,-1,-1,-1,4.0,7.5,6.25,-1,5.92
08000187,3.4,4.25,2.8,-1,-1,-1,2.25,4.0,7.75,-1,4.67
08000188,3.0,5.0,3.6,-1,-1,-1,2.75,3.75,7.0,-1,4.5
08000189,4.2,5.25,2.2,-1,-1,-1,4.75,4.75,7.5,-1,5.67
08000190,3.4,6.0,3.4,-1,-1,-1,5.75,4.5,8.0,-1,6.08
08000191,7.4,5.0,4.2,5.0,3.5,4.0,-1,-1,-1,4.17,-1
08000192,4.0,6.5,3.0,-1,-1,-1,5.25,7.5,7.25,-1,6.67
08000193,5.0,8.25,3.8,-1,-1,-1,8.25,8.0,9.0,-1,8.42
08000194,4.6,5.25,4.0,-1,-1,-1,5.0,7.25,8.5,-1,6.92
08000195,5.2,5.25,2.8,-1,-1,-1,3.5,4.0,8.5,-1,5.33
08000196,4.2,7.0,-1,-1,-1,-1,5.0,7.0,9.0,-1,7.0
08000197,4.2,4.75,4.0,2.5,1.25,3.75,-1,-1,-1,2.5,-1
08000198,3.0,3.75,3.4,-1,-1,-1,3.75,7.5,8.75,-1,6.67
08000199,8.6,6.0,3.4,3.75,9.25,8.75,-1,-1,-1,7.25,-1
08000200,2.6,5.25,2.4,-1,-1,-1,4.75,5.0,8.5,-1,6.08
08000201,5.0,4.75,4.2,2.5,4.25,3.25,4.0,5.0,6.75,3.33,5.25
08000202,4.0,4.0,2.4,-1,-1,-1,6.25,8.75,8.5,-1,7.83
08000203,4.2,5.75,1.8,-1,-1,-1,6.0,6.0,7.0,-1,6.33
08000204,4.2,5.25,3.8,-1,-1,-1,4.25,5.5,8.25,-1,6.0
08000205,3.2,4.5,2.6,-1,-1,-1,4.25,5.25,8.25,-1,5.92
08000206,3.0,4.0,1.8,-1,-1,-1,3.25,5.75,8.25,-1,5.75
08000207,5.4,5.5,4.0,6.0,5.5,5.0,5.5,7.5,7.25,5.5,6.75
08000208,4.0,4.5,2.0,-1,-1,-1,3.75,6.5,9.25,-1,6.5
08000209,2.4,3.75,3.0,3.5,2.75,3.5,2.0,4.25,5.75,3.25,4.0
08000210,6.6,4.75,5.2,6.0,5.75,5.25,-1,-1,-1,5.67,-1
08000211,4.2,5.5,4.4,4.75,5.0,4.25,-1,-1,-1,4.67,-1
08000212,4.4,2.0,-1,-1,-1,-1,4.25,5.25,7.75,-1,5.75
08000213,3.4,3.5,3.4,-1,-1,-1,4.0,7.0,8.75,-1,6.58
08000214,4.2,5.5,2.6,-1,-1,-1,4.25,6.25,8.0,-1,6.17
08000215,5.6,5.5,4.6,4.75,5.75,5.25,-1,-1,-1,5.25,-1
08000216,5.8,3.75,-1,-1,-1,-1,8.0,7.75,9.0,-1,8.25
08000217,4.8,5.75,3.0,-1,-1,-1,5.0,6.25,8.0,-1,6.42
08000218,3.2,5.5,3.2,-1,-1,-1,5.25,5.75,9.0,-1,6.67
08000219,4.2,4.75,4.2,-1,-1,-1,4.25,7.25,7.75,-1,6.42
08000220,4.6,5.5,3.4,5.25,4.5,4.25,-1,-1,-1,4.67,-1
08000221,3.8,4.0,3.2,-1,-1,-1,6.0,7.5,8.75,-1,7.42
08000222,4.4,6.0,3.6,-1,-1,-1,5.5,6.25,7.5,-1,6.42
08000223,4.2,6.75,4.2,-1,-1,-1,5.25,6.75,8.0,-1,6.67
08000224,3.8,6.0,2.0,-1,-1,-1,4.0,6.5,7.75,-1,6.08
08000225,4.8,6.5,3.2,4.25,4.0,5.0,-1,-1,-1,4.42,-1
