SBD,Toán,Ngữ Văn,Ngoại Ngữ,Vật Lý,Hóa Học,Sinh Học,Lịch Sử,Địa Lý,GDCD,KHTN,KHXH
25000054,9.0,5.25,6.0,8.5,8.5,4.5,-1,-1,-1,7.17,-1
25000055,7.8,7.25,7.4,4.5,6.75,7.5,-1,-1,-1,6.25,-1
25000056,8.6,8.0,7.4,8.25,9.0,7.0,-1,-1,-1,8.08,-1
25000057,6.8,7.0,-1,-1,-1,-1,4.75,7.25,8.0,-1,6.67
25000058,7.4,7.5,8.8,-1,-1,-1,7.0,8.75,9.25,-1,8.33
25000059,8.4,7.0,6.6,4.75,7.75,9.25,-1,-1,-1,7.25,-1
25000060,8.4,7.0,7.2,8.25,9.0,4.75,-1,-1,-1,7.33,-1
25000061,8.8,7.5,9.0,8.5,4.0,3.5,-1,-1,-1,5.33,-1
25000062,7.6,6.75,5.0,3.75,6.25,7.5,-1,-1,-1,5.83,-1
25000063,8.6,7.5,-1,-1,-1,-1,5.0,6.0,8.5,-1,6.5
25000064,7.8,8.5,9.0,-1,-1,-1,4.5,8.25,8.5,-1,7.08
25000065,4.0,7.5,6.6,-1,-1,-1,8.75,8.25,7.25,-1,8.08
25000066,9.4,7.25,9.6,-1,-1,-1,7.25,8.0,9.75,-1,8.33
25000067,8.8,6.0,6.6,9.0,8.25,5.0,-1,-1,-1,7.42,-1
25000068,9.6,6.0,9.4,9.0,7.0,9.0,-1,-1,-1,8.33,-1
25000069,9.2,5.5,5.4,9.25,8.5,3.0,-1,-1,-1,6.92,-1
25000070,9.4,3.75,8.4,8.5,8.25,6.5,-1,-1,-1,7.75,-1
25000071,8.0,5.5,6.2,8.5,8.25,4.75,-1,-1,-1,7.17,-1
25000072,8.6,6.5,8.0,7.5,7.0,5.75,-1,-1,-1,6.75,-1
25000073,8.6,6.75,8.0,6.25,9.0,9.25,-1,-1,-1,8.17,-1
25000074,6.2,6.5,5.6,3.75,5.0,7.25,-1,-1,-1,5.33,-1
25000075,8.8,7.0,9.6,3.75,4.75,4.25,-1,-1,-1,4.25,-1
25000076,8.2,7.25,6.6,-1,-1,-1,9.25,8.0,8.0,-1,8.42
25000077,8.8,7.75,9.4,6.5,4.5,6.0,-1,-1,-1,5.67,-1
25000078,7.0,7.75,-1,-1,-1,-1,6.75,8.75,8.75,-1,8.08
25000079,8.6,8.5,9.4,5.25,5.5,5.5,-1,-1,-1,5.42,-1
25000080,9.8,5.25,8.0,5.75,8.25,9.5,-1,-1,-1,7.83,-1
25000081,9.6,6.5,6.4,7.0,-1,9.75,-1,-1,-1,8.92,-1
25000082,8.2,7.25,4.6,-1,-1,-1,9.75,9.25,9.25,-1,9.42
25000083,9.2,8.5,-1,-1,-1,-1,6.75,8.25,9.0,-1,8.0
25000085,9.0,5.5,9.2,8.75,4.0,5.0,-1,-1,-1,5.92,-1
25000086,8.4,5.25,9.2,7.75,4.5,4.5,-1,-1,-1,5.58,-1
25000087,9.2,6.25,9.0,6.25,9.0,8.75,-1,-1,-1,8.0,-1
25000088,9.0,5.5,6.0,4.25,8.5,8.75,-1,-1,-1,7.17,-1
25000089,9.2,4.75,4.8,8.25,8.5,6.25,-1,-1,-1,7.67,-1
25000090,7.8,6.0,6.0,8.25,6.5,8.0,-1,-1,-1,7.58,-1
25000091,8.6,6.75,8.4,3.75,8.25,4.75,-1,-1,-1,5.58,-1
25000092,7.0,6.5,-1,-1,-1,-1,3.5,4.25,7.5,-1,5.08
25000093,8.4,7.5,9.6,-1,-1,-1,5.5,5.5,9.5,-1,6.83
25000094,8.8,7.0,4.4,8.75,7.5,6.0,-1,-1,-1,7.42,-1
25000095,4.0,7.75,5.4,-1,-1,-1,8.0,9.25,9.0,-1,8.75
25000096,6.6,6.0,3.4,7.25,9.25,5.75,-1,-1,-1,7.42,-1
25000097,7.4,5.75,6.0,5.0,7.25,7.5,-1,-1,-1,6.58,-1
25000098,8.8,4.25,7.2,8.25,8.5,3.75,-1,-1,-1,6.83,-1
25000099,7.4,5.5,9.2,8.0,8.25,7.0,-1,-1,-1,7.75,-1
25000100,7.2,7.0,9.4,-1,-1,-1,5.5,7.5,8.25,-1,7.08
25000101,8.0,6.25,5.6,8.5,9.0,5.0,-1,-1,-1,7.5,-1
25000102,8.8,7.5,9.6,7.75,5.5,7.0,-1,-1,-1,6.75,-1
25000103,8.6,7.25,7.4,8.5,6.75,6.75,-1,-1,-1,7.33,-1
25000104,6.8,7.75,-1,-1,-1,-1,6.75,8.0,8.75,-1,7.83
25000105,9.0,4.25,9.0,8.5,5.75,5.75,-1,-1,-1,6.67,-1
25000106,5.8,7.25,-1,-1,-1,-1,5.0,5.5,8.0,-1,6.17
25000107,5.6,6.5,-1,-1,-1,-1,5.0,8.25,7.75,-1,7.0
25000108,8.2,7.25,9.2,-1,-1,-1,6.0,7.25,8.25,-1,7.17
25000109,9.2,5.25,8.6,8.5,3.0,5.0,-1,-1,-1,5.5,-1
25000110,9.2,6.5,5.0,9.0,8.5,5.0,-1,-1,-1,7.5,-1
25000111,6.4,6.0,5.6,4.5,4.25,4.5,-1,-1,-1,4.42,-1
25000112,9.6,5.75,6.2,9.25,9.0,5.75,-1,-1,-1,8.0,-1
25000113,9.2,6.25,6.2,9.0,8.25,5.75,-1,-1,-1,7.67,-1
25000114,8.8,6.5,8.8,-1,-1,-1,5.0,8.5,8.75,-1,7.42
25000115,3.2,6.0,-1,-1,-1,-1,3.25,4.75,7.5,-1,5.17
25000116,8.2,7.5,9.8,4.75,6.5,5.75,-1,-1,-1,5.67,-1
25000117,9.8,5.0,8.2,8.5,-1,6.0,-1,-1,-1,8.17,-1
25000118,9.0,5.5,5.2,3.25,6.5,8.75,-1,-1,-1,6.17,-1
25000119,9.0,6.25,5.0,9.25,8.25,5.0,-1,-1,-1,7.5,-1
25000120,5.6,7.0,6.2,-1,-1,-1,8.5,9.0,9.5,-1,9.0
25000121,8.8,8.5,9.8,7.5,6.5,3.5,-1,-1,-1,5.83,-1
25000122,8.8,8.0,9.6,8.5,4.75,4.0,-1,-1,-1,5.75,-1
25000123,8.0,8.5,9.0,-1,-1,-1,6.75,8.25,9.25,-1,8.08
25000124,-1,6.5,9.8,9.0,9.5,6.25,-1,-1,-1,8.25,-1
25000125,9.0,6.0,5.2,8.75,9.0,5.25,-1,-1,-1,7.67,-1
25000126,9.0,8.5,9.6,-1,-1,-1,7.5,9.25,9.5,-1,8.75
25000127,8.4,7.25,9.2,8.5,5.25,4.25,-1,-1,-1,6.0,-1
25000128,7.2,6.0,3.4,8.5,7.0,4.25,-1,-1,-1,6.58,-1
25000129,8.0,6.75,9.0,8.25,4.75,3.5,-1,-1,-1,5.5,-1
25000130,6.0,8.5,6.0,-1,-1,-1,5.5,6.5,9.0,-1,7.0
25000131,8.8,9.0,9.6,-1,-1,-1,5.0,8.25,8.25,-1,7.17
25000132,8.0,7.5,8.4,-1,-1,-1,6.25,8.5,9.25,-1,8.0
25000133,9.8,7.25,7.2,8.75,9.25,4.75,-1,-1,-1,7.58,-1
25000134,7.6,7.5,9.2,-1,-1,-1,5.25,7.0,8.5,-1,6.92
25000136,6.0,6.25,-1,-1,-1,-1,4.0,6.75,8.75,-1,6.5
25000137,8.0,7.75,9.6,-1,-1,-1,4.5,9.25,8.75,-1,7.5
25000138,9.6,5.5,8.2,8.25,9.75,5.25,-1,-1,-1,7.75,-1
25000139,8.8,6.0,9.0,6.0,3.5,4.25,-1,-1,-1,4.58,-1
25000140,8.6,5.5,6.4,8.5,8.75,7.0,-1,-1,-1,8.08,-1
25000141,5.8,7.5,7.6,-1,-1,-1,8.5,9.25,9.0,-1,8.92
25000142,7.6,7.0,5.8,-1,-1,-1,8.75,9.75,9.0,-1,9.17
25000143,8.6,5.5,5.6,8.0,7.0,3.75,-1,-1,-1,6.25,-1
25000144,8.8,7.0,8.4,9.0,-1,9.5,-1,-1,-1,9.5,-1
25000145,9.2,8.5,9.0,8.5,5.25,4.5,-1,-1,-1,6.08,-1
25000146,9.4,6.75,9.6,9.0,9.5,9.0,-1,-1,-1,9.17,-1
25000147,9.0,7.5,9.6,-1,-1,-1,6.75,8.25,8.5,-1,7.83
25000148,9.6,6.5,8.8,8.75,9.25,3.5,-1,-1,-1,7.17,-1
25000149,7.6,8.25,9.6,-1,-1,-1,6.0,8.75,9.5,-1,8.08
25000150,9.2,6.5,7.8,9.0,9.25,7.0,-1,-1,-1,8.42,-1
25000151,8.2,7.25,6.8,7.25,8.5,5.5,-1,-1,-1,7.08,-1
25000152,8.8,8.0,9.0,-1,-1,-1,5.25,7.25,9.25,-1,7.25
25000153,6.8,8.0,7.2,-1,-1,-1,7.0,8.0,8.5,-1,7.83
25000154,7.0,7.25,5.6,-1,-1,-1,7.0,9.25,8.5,-1,8.25
25000155,8.4,8.0,9.2,5.75,5.75,4.75,-1,-1,-1,5.42,-1
25000156,8.2,8.75,9.6,-1,-1,-1,5.5,9.0,8.5,-1,7.67
25000157,8.0,6.5,7.8,6.5,8.25,7.75,-1,-1,-1,7.5,-1
25000158,8.2,8.5,8.6,6.25,5.0,3.75,-1,-1,-1,5.0,-1
25000159,3.6,8.0,5.0,-1,-1,-1,8.25,9.75,7.5,-1,8.5
25000160,8.4,6.75,-1,-1,-1,-1,4.5,7.0,7.0,-1,6.17
25000161,9.0,7.0,9.0,-1,-1,-1,6.25,6.25,8.5,-1,7.0
25000162,9.6,6.5,7.8,9.0,6.75,6.5,-1,-1,-1,7.42,-1
25000163,9.2,7.75,9.2,8.75,4.5,5.25,-1,-1,-1,6.17,-1
25000164,9.0,8.0,8.6,7.0,5.25,3.5,-1,-1,-1,5.25,-1
25000165,5.2,8.5,6.2,-1,-1,-1,9.0,8.5,9.5,-1,9.0
25000166,8.0,8.75,9.6,-1,-1,-1,6.75,8.75,9.5,-1,8.33
25000167,7.2,6.5,4.6,6.75,8.75,6.5,-1,-1,-1,7.33,-1
25000168,6.6,6.0,6.4,3.25,6.75,8.75,-1,-1,-1,6.25,-1
25000169,9.2,7.5,7.4,9.25,9.25,6.0,-1,-1,-1,8.17,-1
25000170,9.6,7.0,6.4,9.25,-1,9.0,-1,-1,-1,9.42,-1
25000171,6.4,6.0,-1,-1,-1,-1,3.75,4.5,8.5,-1,5.58
25000172,9.2,8.25,9.8,7.5,5.75,4.5,-1,-1,-1,5.92,-1
25000173,4.8,7.75,6.2,-1,-1,-1,7.25,9.5,9.0,-1,8.58
25000174,8.4,8.0,8.8,-1,-1,-1,7.5,8.25,8.75,-1,8.17
25000175,6.4,6.75,5.6,-1,-1,-1,7.25,8.5,9.0,-1,8.25
25000176,7.0,6.25,4.0,4.5,6.75,7.0,-1,-1,-1,6.08,-1
25000177,9.8,5.25,7.4,8.75,8.0,7.0,-1,-1,-1,7.92,-1
25000178,8.2,7.0,-1,-1,-1,-1,6.5,9.0,9.25,-1,8.25
25000179,8.4,6.0,8.2,9.0,6.5,5.5,-1,-1,-1,7.0,-1
25000180,8.6,8.0,9.4,7.75,3.75,6.5,-1,-1,-1,6.0,-1
25000181,9.6,5.75,9.6,9.25,4.75,6.25,-1,-1,-1,6.75,-1
25000182,8.8,7.0,8.6,8.25,8.75,5.5,-1,-1,-1,7.5,-1
25000183,8.6,7.5,9.4,6.25,6.0,7.5,-1,-1,-1,6.58,-1
25000184,9.2,7.0,-1,8.75,6.5,5.25,-1,-1,-1,6.83,-1
25000185,9.2,7.5,9.6,-1,-1,-1,5.0,7.25,9.25,-1,7.17
25000186,8.2,8.0,-1,-1,-1,-1,5.25,8.0,9.0,-1,7.42
25000187,8.4,6.75,4.2,5.0,6.5,7.75,-1,-1,-1,6.42,-1
25000188,9.0,7.75,8.6,-1,-1,-1,4.25,8.25,9.5,-1,7.33
25000189,9.0,8.0,8.6,-1,-1,-1,9.5,9.75,9.0,-1,9.42
25000190,8.0,6.5,-1,-1,-1,-1,3.75,5.0,7.75,-1,5.5
25000191,9.0,5.75,9.0,9.5,9.25,7.75,-1,-1,-1,8.83,-1
25000192,9.4,6.5,9.0,8.0,9.25,9.5,-1,-1,-1,8.92,-1
25000193,8.4,7.0,8.8,8.0,9.0,5.25,-1,-1,-1,7.42,-1
25000194,9.2,7.25,9.8,6.75,4.25,7.25,-1,-1,-1,6.08,-1
25000195,9.0,6.25,4.2,7.75,7.5,4.25,-1,-1,-1,6.5,-1
25000196,8.6,5.0,8.4,8.75,9.25,6.0,-1,-1,-1,8.0,-1
